501
t0001, p0001u, p0002u, p0001d, p0002d
t0420, p0839u, p0840u, p0839d, p0840d
t0421, p0841u, p0842u, p0841d, p0842d
t0422, p0843u, p0844u, p0843d, p0844d
t0423, p0845u, p0846u, p0845d, p0846d
t0424, p0847u, p0848u, p0847d, p0848d
t0425, p0849u, p0850u, p0849d, p0850d
t0426, p0851u, p0852u, p0851d, p0852d
t0427, p0853u, p0854u, p0853d, p0854d
t0428, p0855u, p0856u, p0855d, p0856d
t0429, p0857u, p0858u, p0857d, p0858d
t0430, p0859u, p0860u, p0859d, p0860d
t0431, p0861u, p0862u, p0861d, p0862d
t0432, p0863u, p0864u, p0863d, p0864d
t0433, p0865u, p0866u, p0865d, p0866d
t0434, p0867u, p0868u, p0867d, p0868d
t0435, p0869u, p0870u, p0869d, p0870d
t0436, p0871u, p0872u, p0871d, p0872d
t0437, p0873u, p0874u, p0873d, p0874d
t0438, p0875u, p0876u, p0875d, p0876d
t0439, p0877u, p0878u, p0877d, p0878d
t0440, p0879u, p0880u, p0879d, p0880d
t0441, p0881u, p0882u, p0881d, p0882d
t0442, p0883u, p0884u, p0883d, p0884d
t0443, p0885u, p0886u, p0885d, p0886d
t0444, p0887u, p0888u, p0887d, p0888d
t0445, p0889u, p0890u, p0889d, p0890d
t0446, p0891u, p0892u, p0891d, p0892d
t0447, p0893u, p0894u, p0893d, p0894d
t0448, p0895u, p0896u, p0895d, p0896d
t0449, p0897u, p0898u, p0897d, p0898d
t0450, p0899u, p0900u, p0899d, p0900d
t0451, p0901u, p0902u, p0901d, p0902d
t0452, p0903u, p0904u, p0903d, p0904d
t0453, p0905u, p0906u, p0905d, p0906d
t0454, p0907u, p0908u, p0907d, p0908d
t0455, p0909u, p0910u, p0909d, p0910d
t0456, p0911u, p0912u, p0911d, p0912d
t0457, p0913u, p0914u, p0913d, p0914d
t0458, p0915u, p0916u, p0915d, p0916d
t0459, p0917u, p0918u, p0917d, p0918d
t0460, p0919u, p0920u, p0919d, p0920d
t0461, p0921u, p0922u, p0921d, p0922d
t0462, p0923u, p0924u, p0923d, p0924d
t0463, p0925u, p0926u, p0925d, p0926d
t0464, p0927u, p0928u, p0927d, p0928d
t0465, p0929u, p0930u, p0929d, p0930d
t0466, p0931u, p0932u, p0931d, p0932d
t0467, p0933u, p0934u, p0933d, p0934d
t0468, p0935u, p0936u, p0935d, p0936d
t0469, p0937u, p0938u, p0937d, p0938d
t0470, p0939u, p0940u, p0939d, p0940d
t0471, p0941u, p0942u, p0941d, p0942d
t0472, p0943u, p0944u, p0943d, p0944d
t0473, p0945u, p0946u, p0945d, p0946d
t0474, p0947u, p0948u, p0947d, p0948d
t0475, p0949u, p0950u, p0949d, p0950d
t0476, p0951u, p0952u, p0951d, p0952d
t0477, p0953u, p0954u, p0953d, p0954d
t0478, p0955u, p0956u, p0955d, p0956d
t0479, p0957u, p0958u, p0957d, p0958d
t0480, p0959u, p0960u, p0959d, p0960d
t0481, p0961u, p0962u, p0961d, p0962d
t0482, p0963u, p0964u, p0963d, p0964d
t0483, p0965u, p0966u, p0965d, p0966d
t0484, p0967u, p0968u, p0967d, p0968d
t0485, p0969u, p0970u, p0969d, p0970d
t0486, p0971u, p0972u, p0971d, p0972d
t0487, p0973u, p0974u, p0973d, p0974d
t0488, p0975u, p0976u, p0975d, p0976d
t0489, p0977u, p0978u, p0977d, p0978d
t0490, p0979u, p0980u, p0979d, p0980d
t0491, p0981u, p0982u, p0981d, p0982d
t0492, p0983u, p0984u, p0983d, p0984d
t0493, p0985u, p0986u, p0985d, p0986d
t0494, p0987u, p0988u, p0987d, p0988d
t0495, p0989u, p0990u, p0989d, p0990d
t0496, p0991u, p0992u, p0991d, p0992d
t0497, p0993u, p0994u, p0993d, p0994d
t0498, p0995u, p0996u, p0995d, p0996d
t0499, p0997u, p0998u, p0997d, p0998d
t0500, p0999u, p1000u, p0999d, p1000d
t0501, p1001u, p1001d
